userName,score,at,content,pelabelan 3 kelas, 
PUTRI AYU,5,2022-11-05 17:58:58,Sudah tf tapi tidak di terima ke penerima,negatif,
Fandi Cebol,5,2022-11-05 17:58:23,pembaruan terus,netral,
tapit Aviet,3,2022-11-05 17:55:41,Tolong lah di perbaiki lagi saya tidak merasa kirim tapi saldo tiba - tiba berkurang otomatis,negatif,
CS ONLINE AKUN PEMILIK,5,2022-11-05 17:54:19,baik sekali aku suka,positif,
Tata Udin,2,2022-11-05 17:53:33,Saya uninstall dana dan beralih ke gopay. Pertama entah kenapa pertama dibuka selalu freeze dan lemot pdhl internet saya cepat. Kedua suka gak bisa scan qr saat di shell. Saya buat antrian panjang. udah gitu gabisa dan pakai cash jadinya. Terima kasih untuk 5 bulannya,negatif,
Sarnata Atok,3,2022-11-05 17:51:31,cukup puas,netral,
Ricko AS,1,2022-11-05 17:50:16,Proses penindaklanjutan laporan sangat lama,negatif,
Andika Fazri,5,2022-11-05 17:49:09,Saya sangat suka dengan aplikasi DANA ini. Transaksi semakin mudah dengan adanya aplikasi DANA. Ditingkatkan lagi buat aplikasi tersebut untuk mencakup semua transaksi dalam semua bidang apa saja.,positif,
Wakil ID,1,2022-11-05 17:48:58,Kalo lupa pin solusinya hanya hubungi cs? Terlalu ribet. Kenapa tidak langsung ke nomer simcard yg terdaftar lalu verifikasi wajah. Buatlah lebih mudah.,negatif,
Agung Nugroho,3,2022-11-05 17:45:41,Transaksi saya pending dari tanggal 25 oktober 2022  dana sudah kesedot tetapi tidak sukses saya sudah komplain tetapi tidak ada feedback Dana saya tidak balik  gimana ini kelankutannya,negatif,
Andre Andrean,5,2022-11-05 17:45:40,oke,netral,
Sunstrikez The Sun,1,2022-11-05 17:45:19,Ini kenapa fitur bayar tagihannya kok ilang. Jadinya ga bisa bayar pln pam tolong diperbaiki,negatif,
Deden Fattah89,5,2022-11-05 17:44:12,Saya masukin uang dari Snack video ke dana tiba - tiba hilang,negatif,
Pri Yadi,5,2022-11-05 17:42:55,ini aplikasi eror terus.. awal nya aja lancar.. makin kesini eror terus gk bisa tf,negatif,
Pipin Apriansyah Apri,5,2022-11-05 17:41:19,Oke aja,netral,
Denny Sukma triana,5,2022-11-05 17:40:02,Sangat berguna untuk menyimpan dan pembayaran,positif,
wong gambut,5,2022-11-05 17:39:35,aplikasi dana,netral,
Zr. clarabonitas,5,2022-11-05 17:38:28,Live chat ga direspon. kirim email ga ada respon juga,negatif,
Ig: Kulisisik,1,2022-11-05 17:38:05,Aplikasi yg buruk buat transaksi customer service nya jg berbelit-belit,negatif,
Riki Setiawan,5,2022-11-05 17:37:34,Bagus banget dana skrg ini dari mulai upgrade sampai setelah di upgrade beda banget ya Lemot total Perbaiki tolong donk Ini menyangkut bisnis saya dan saldo saya Tolong diperbaiki Setelah di premium malah jadi pertalite,negatif,
Su Kiyo,5,2022-11-05 17:35:47,Layanannya bagus,netral,
Yanz Sunda,5,2022-11-05 17:32:24,sangat berguna sekali,positif,
Andhy Camel,5,2022-11-05 17:28:47,Sangat mambantu,positif,
Indra Budi,5,2022-11-05 17:28:13,gooe,netral,
Mamad Gebeur,5,2022-11-05 17:26:43,Sangat berguna,positif,
KHOIRUN NIZAM,3,2022-11-05 17:25:09,Kenapa sekarang susah banget apgrade full servis,negatif,
wijaya Viky,1,2022-11-05 17:21:43,Min kenapa dana saya gk bisa di buka padahal saya hbis isi dana,negatif,
Edi Karmono,2,2022-11-05 17:21:37,Kok akun dana saya bisa kembali ke awal padahal udah di upgrade ke premium tolong dong di bantu agar akun dana saya bisa kembali ke premium lagi agar bisa bertransaksi lagi dengan lancar gak ada kendala Saya udah coba upgred ke premium lagi tetep gagal terus di mohon bantuannya bapak/ ibu pemilik appk saya mohon banget segera di konfirmasi untuk bisa ke akun dana premium lagi trimakasih,negatif,
Ceppuad Detailing,5,2022-11-05 17:21:31,Pokoknya,netral,
Ahmad Iwan,5,2022-11-05 17:19:32,dana cukup memuaskan,positif,
Ahmad Sopian,5,2022-11-05 17:19:29,saya suka Aplikasi ini,positif,
satrio mobic,1,2022-11-05 17:13:23,Gara dana saldo saya hilang sebesar 7.500.000 sudah komplen melalui email blm ada jawaban padahal itu transaksi yang lumayan untuk saya dan terkendala begini melayang sudah saldo saya 7.5 juta ya,negatif,
Septian Abdurrohman,1,2022-11-05 17:12:26,Sitem sibuk terus bangsaad,negatif,
Afrilia Lia,5,2022-11-05 17:08:05,mantapppppp,positif,
Biman Tara,5,2022-11-05 17:08:05,Knpah akun saya tiba tiba di bekukan Tanpa alesan,negatif,
alwi Caka,5,2022-11-05 17:07:47,Sangat baik dan membantu,positif,
Dadan Rosada,5,2022-11-05 17:06:59,Dana ga seperti dulu yang lancar dan mudah. sekarang buka apapun loading lama banget,negatif,
Rival Maulana,1,2022-11-05 17:05:20,APLIKASI BUSUK SISTEM SELALU SIBUK SARAN GUA MENDING PINDAH KE OVO AJA,negatif,
Okky Munggara,5,2022-11-05 16:57:59,bagus membantu sekali,positif,
Andreas Brayen Wattimena,2,2022-11-05 16:56:09,Ribet banget jd premium. Udah upload ktp. Malah minta berkas lainnya. Ishh.. mengalahkan pinjol. Uangku jd gak bisa d tarik. Ah taik lah,negatif,
Sapar Marpaung,5,2022-11-05 16:56:01,sukses,positif,
Ijn 長門 Nagato,1,2022-11-05 16:53:09,Ngirim uang dari Paypal ke Dana gabisa malah alhasil Uang di Paypal saya yg Hangus dan gabisa balik padahal CMA ini satu-satunya Hal yg bisa Dilakukan freelancer seperti saya,negatif,
Fitria Ngalifatun,5,2022-11-05 16:51:34,bagus,positif,
Andre Kurnia,5,2022-11-05 16:51:00,gatau lagi ini app,netral,
Irwan Kurniawan,5,2022-11-05 16:47:20,mudah digunakan,positif,
Alam Syah777,5,2022-11-05 16:47:15,susah ngirim ke atm,negatif,
Noor Ikhsan Imynadhi,5,2022-11-05 16:43:25,Mudah-mudahan bisa,netral,
Syafrizal Efendi,4,2022-11-05 16:41:45,oke.bnget,positif,
Ahmad Kamil,5,2022-11-05 16:39:57,apa kah benar ini dapat uang,netral,
ahmad ikbar iki,5,2022-11-05 16:39:54,cba aja dlu,netral,
Pandi Supriyandi,5,2022-11-05 16:38:53,ok membantu,positif,
Aakaji12 Aakaji12,1,2022-11-05 16:38:11,Kenapa akun dana saya di beku kan dan saldo saya gimana itu di dana tolong di usul akun dana saya,negatif,
Indotani Indotani,3,2022-11-05 16:36:59,Bagus sekali,positif,
Fikar nurdiansyah,2,2022-11-05 16:36:25,Tiap mau transfer pending terussssss,negatif,
Wari doank Doank,1,2022-11-05 16:35:38,Knp susah banget dana ya. Upgrade. Nya.,negatif,
Sakti Pratama,3,2022-11-05 16:35:32,Kenapa gak bs di downlpad,negatif,
Andre Campus,1,2022-11-05 16:34:37,kenapa jdi error setiap masuk keluar sendiri masuk akun iagi saya minta penjelasan...,negatif,
Dede Suryana,5,2022-11-05 16:34:00,good,positif,
Jy Sinda,5,2022-11-05 16:29:33,Apk Dana Memang Lah,netral,
Rafiq Alizaim,5,2022-11-05 16:26:58,bagus,positif,
Fatur Rahman,2,2022-11-05 16:26:07,Saya transfer dari mbanking ke dana sampe skrng belum masuk Coba tolong proses dengan cepat,negatif,
